id	GSM2690788_con	GSM2690789_con	GSM2690790_con	GSM2690785_treat	GSM2690786_treat	GSM2690787_treat
CXCL11	3.37219048079081	3.83359674485037	4.08723025986503	6.40762738436726	5.05113922393114	5.28742135003928
CXCL12	12.25717891322	12.3380799180115	11.363295952514	10.1162362278573	8.77854436394493	9.39988232528544
CXCL13	3.06340432743672	3.15612282302608	3.51815316701478	8.22644798751372	5.80909071079746	9.40079846096482
CXCL14	11.1038087285617	11.6370691513472	12.3403172545866	12.9372182496603	13.7004644014849	12.6027924424195
CXCL16	8.57151299008618	8.55365777592851	8.67714582424049	10.0476198307366	9.57593456166829	10.3472053387715
CXCL17	3.92246911826318	3.51815316701478	3.82165012889624	3.13166988603893	3.51815316701478	3.91494824582129
CXCL2	7.13495657329705	7.50016499377956	9.5024126934079	11.447150041258	9.08672794891035	10.3246686824779
CXCL3	6.87014449250441	6.14866485197484	7.06717167788838	6.36252255639502	6.56854309327678	6.36252256329795
CXCL5	5.42300693924844	4.51160740013919	6.13753202227447	8.39237328587922	8.08426036467822	9.17528876680062
CXCL6	1.88689164293019	3.15612282302608	1.82215604870035	5.10139110847902	2.47963090033395	2.80310138123482
CXCL9	8.13721931994573	6.06336216969171	6.76827189916127	10.6139797887889	9.24474154413493	10.2212482020401
CXCR1	9.2625707353751	7.50016499377956	8.94566509620817	7.1350105723453	7.50811237829948	7.30032940522725
CXCR2	4.01661933823577	3.92246911826318	3.11806221430557	3.66636998622227	4.82926298607851	4.35989257351807
CXCR3	7.82043557450955	6.54540895025535	7.74963702018757	6.83256676503402	6.7471000407977	7.34444220450288
CXCR4	9.54876865235085	9.02069450624311	9.21234344150382	12.2389672939228	12.4730216897531	11.6402053097823
CXCR5	3.51815316701478	2.38382718459003	2.82371871604712	4.26280087582699	3.51815316701478	2.80310138123482
CXCR6	6.54932193694188	6.27014378844496	6.35263268118637	6.62226841748256	6.46905111690864	6.27481037582161
CXCR7	3.64146969954344	5.14379267949691	4.67625630882493	7.37381836355489	7.68464312287361	7.19405924202424
CXXC1	10.8037245448615	9.98206544931088	10.6847786986378	10.4269674784316	10.7347214486742	10.9000219055462
CXXC11	7.01530462022316	6.21556842499868	6.93741277039262	5.24908949271818	7.36289878705838	6.03416939851532
CXXC1P1	4.2860512781799	4.2165398821277	4.536811609099	4.00725108413343	4.23760570329078	4.25053644416793
CXXC4	7.28030799472218	6.77853564307929	7.25276978270998	6.898304513848	6.86648383250671	7.1263018179337
CXXC5	11.5754441386811	12.0000224409905	12.7241375547088	12.3245138892242	13.9362995305222	12.3622753767081
CXorf21	2.86046340842347	4.16447915414769	3.64146969954344	4.8224936363056	6.53958487266313	5.3317236877354
CXorf22	3.06340432743672	3.15612282302608	2.82371871604712	3.36072386762301	2.92216355734648	3.20919447146697
CXorf23	3.64146969954344	5.62110462148271	4.01013992965371	5.76035689105864	5.88208107999836	5.14387206278006
CXorf27	4.08723025986503	4.01661933823577	3.82165012889624	3.51815316701478	3.64146969954344	4.10537768020955
CXorf28	9.37874918832648	7.48274602925732	9.07752576086745	7.27242692269945	7.66768730136126	7.21310137521664
CXorf30	5.19067717406296	4.38812997483569	4.94586591620803	5.55521576503358	5.08817366066999	6.6800864615404
CXorf31	3.64146969954344	3.75497271158221	4.42402364645989	4.35989257258074	4.54792543004627	4.45074541208895
CXorf36	6.05044962445462	6.14681879377407	7.14770667172046	7.07857466755123	7.55989055567549	6.91731888666431
CXorf38	7.22949489790277	8.71761787408983	8.08125602974867	9.24941174145445	9.22056286241676	9.99918863351309
CXorf40A	5.40703599442277	6.72244521125448	6.12987529254986	6.85582377406308	7.22212356637039	6.75208953588498
CXorf40A|CXorf40B	10.7778056135382	11.0847498316715	10.662117846708	10.7803022348466	10.7636228366638	11.0575177587845
CXorf40B	3.92246911826318	4.95698044785632	3.38313509708423	3.82165012889624	3.82165012889624	3.51815316871522
CXorf48	3.66376875664351	3.36072387633785	3.76027248158983	4.49276953046168	3.55411278244306	4.68823563217798
CXorf49|LOC100129291|CXorf49B	11.2974282613115	12.1350212977071	11.3906269519452	11.9775522921985	11.6679994413039	11.2752557358608
CXorf51B|CXorf51A	4.59909078206784	3.75497271158221	4.536811609099	4.53151332474859	4.17793060062578	4.72871646534074
CXorf57	7.33770843687256	8.55689820373535	7.51004978228168	9.32426495151872	9.01393734298276	9.36893563974341
CXorf58	4.93322564236286	5.28742135003928	5.43392682905565	4.93676310119186	5.22691882065912	5.24590944062421
CXorf61	3.20919447146697	3.15612282302608	3.64146969954344	2.64193992408264	2.92216355734648	3.6536946957924
CXorf64	10.0455054370469	8.40080839013523	10.414361772604	8.30899133099968	8.42360437537308	8.1675456604473
CXorf65	4.59909078206784	4.78243093223231	4.88033553738967	6.31549722786609	6.29552484462158	6.8684931361799
CXorf66	0.858005546062754	0	1.40531527479954	-2.32020590168984	1.88689164293019	1.12773007252761
CYB561	9.66551938739184	9.93540915214759	10.4922921433085	9.57066035989287	10.4515801406243	10.3835352733071
CYB561D1	9.07594983478468	9.01458595557185	8.70116715303643	9.5329057212388	10.0633958672325	9.74714741858248
CYB561D2	10.6141585656222	10.5545358180954	10.2787184613803	10.1168198239744	9.81490732386	9.9092854033439
CYB5A	12.6275436383948	12.4670345700586	11.8536438236153	12.4964722977399	12.6090635658126	11.680058843012
CYB5B	9.98209538967574	10.0238682412273	10.1649397432517	9.52679560326777	9.58984855085819	10.2359680380078
CYB5D1	9.17596143023524	8.31792028240321	8.07534286214361	8.65805557232208	8.84900189970969	7.76085520582417
CYB5D2	5.2369254269477	7.80337095274729	4.82926297981539	5.83257335915145	5.78769543880375	4.10537768020955
CYB5R1	9.35442484872303	8.80180403422142	8.59102498100392	7.96823800286564	8.20543166617643	6.960817135697
CYB5R2	6.7714859050302	7.6421602464638	6.96561405953415	5.96459082536717	5.19108458115451	6.88279689373134
CYB5R3	8.89000344802101	8.78131407594141	8.63396929002728	9.5879126431688	10.0763803276985	9.82518104676889
CYB5R4	4.47161650140831	6.57648817449525	4.01013992965371	5.69525382233836	5.33567478006612	4.59404052960436
CYB5RL	6.94211819445608	6.92400948496118	7.37348361124373	7.55581517169202	7.78953467808653	8.09266825973359
CYBA	12.3265196898636	12.1471572125946	12.0893440361235	14.3035230974131	13.9912431774292	14.0884013647893
CYBASC3	9.3820939621093	9.58086798207681	9.6821210874006	9.8566590124731	10.3937980627905	10.5001662229868
CYBB	5.89696667037049	8.10028049102562	5.8830549107993	8.08432576139009	8.67039898482146	7.38329555320317
CYBRD1	9.62226721572383	11.4817090279092	10.0271055437483	9.8536242862832	9.50171318121849	10.0098601296011
CYC1	11.0461811849719	11.4402583899294	9.60701196382489	9.95251780284686	9.7694865672771	9.48426346331787
CYCS	8.46703798607891	8.89589609027489	7.8756631394866	7.10203115650877	7.120948317625	6.8684931361799
CYFIP1	9.54184807747381	10.617814268005	9.1526002863285	10.1316470892272	9.96057079128652	10.0656226224923
CYFIP2	13.5836897443763	13.716133453232	13.1312741101887	11.3898287393824	11.6871271101654	11.3654369043412
CYGB	11.0395682011681	10.147181180214	10.0521015109729	10.4008010172737	10.7582736603055	10.9329510107603
CYHR1	7.25958881656759	7.04444611089432	6.67757796042213	6.51201489380439	6.66963147270835	5.91773073957352
CYLC1	3.20919447146697	2.82371871604712	3.06340432743672	2.78717665945942	2.7332929044128	3.47492610930833
CYLC2	4.08723025986503	3.64146969954344	3.92246911826318	2.92216357656464	3.82165012889624	3.91494824582129
