geneNames	GSM2674259	GSM2674260	GSM2674261	GSM2674262	GSM2674263	GSM2674264	GSM2674265	GSM2674266
hsa_circ_0000281	12.30949366	12.31050582	13.39774961	13.01802599	13.21415758	13.38475824	13.61603168	13.54107373
hsa_circ_0000283	7.495842139	7.367127604	6.511727161	7.659538492	6.407240356	6.445505528	6.254998112	7.302052932
hsa_circ_0000285	10.53003892	9.752377949	9.858464229	10.52460135	9.840283653	9.744726031	9.850282005	9.966953674
hsa_circ_0000286	13.17385253	12.43304704	11.33065343	13.42259843	10.76481843	8.993906804	9.714993958	10.42449268
hsa_circ_0000287	10.59350634	11.44937354	10.26956315	10.77050771	9.46900251	7.559842713	8.658763592	9.160812786
hsa_circ_0000289	5.449095397	4.903804141	5.189760825	5.226350055	5.334215624	5.695183394	6.84703714	6.205761734
hsa_circ_0000961	5.417798099	5.240729811	5.741423505	5.167353415	5.917333589	7.020267581	5.933652598	6.962154375
hsa_circ_0000969	5.07674667	5.103220135	5.057921891	5.041588524	5.159806266	5.169860383	5.121466694	4.643763141
hsa_circ_0000297	6.23598333	6.176764323	6.5970974	6.523536671	6.407240356	7.079467584	7.265892895	7.599435987
hsa_circ_0000298	12.27282976	11.79923037	13.17385253	13.14782077	13.67249422	14.02945965	14.54012416	13.55441628
hsa_circ_0000299	9.852624522	7.133125641	6.995748924	7.75362384	5.541046655	5.370631183	5.847016933	5.287652827
hsa_circ_0000988	8.672640625	7.349266963	7.714663753	7.740613168	7.723649939	8.4483678	8.865438323	8.908293948
hsa_circ_0000302	11.24844553	9.093743405	9.107049351	9.544116117	8.999290841	10.06768427	10.35045403	9.432929951
hsa_circ_0000303	7.036842731	6.760698495	7.869583897	6.510738657	7.898024724	8.409649272	7.643844559	8.447851443
hsa_circ_0000308	7.119572893	5.912850726	5.926998935	7.197815153	5.250237301	5.226350055	4.854787993	5.370631183
hsa_circ_0000310	7.110466476	6.723212284	7.035468719	7.0265056	6.605455629	7.020267581	6.516659543	6.899337436
hsa_circ_0000313	5.945406088	5.867238889	6.082114706	5.658165418	6.449122022	6.951265917	6.461964563	7.076464366
hsa_circ_0000314	5.342017318	6.373924607	9.902890801	5.152219429	11.08596924	12.65473355	10.38774636	11.86595008
hsa_circ_0001071	9.043364705	6.654612939	6.139518356	7.890444489	5.463471653	5.511701667	5.285342571	6.086101984
hsa_circ_0000317	14.70708601	13.42259843	13.34719723	14.4411042	11.73333247	10.39184599	10.24004402	10.17714497
hsa_circ_0000319	12.997962	11.29698696	10.47883118	12.71770285	9.349139413	7.764446265	8.130562262	7.364667741
hsa_circ_0000320	13.61132726	11.79639391	10.95392243	13.25212926	10.1838272	9.699569656	9.330913266	10.09506517
hsa_circ_0001100	6.931457176	5.800049238	5.710762018	7.433050304	6.011191189	9.331753102	7.36958328	8.573759409
hsa_circ_0000323	5.588666298	5.759012985	6.738070468	5.426210655	8.103934975	9.267221831	6.826527992	9.496226418
hsa_circ_0000324	7.260316345	7.977986142	9.709081033	6.939560263	10.7149417	10.68950525	9.245028862	10.87869633
hsa_circ_0000328	7.124104636	6.484293441	7.220362728	6.570779967	7.676827238	7.961078555	6.738070468	6.205761734
hsa_circ_0001138	4.724425861	4.826466503	4.965709844	4.888664724	4.965709844	5.022296235	5.285342571	4.584865588
hsa_circ_0001155	5.264382079	5.744790457	5.457327934	5.199609045	5.816942359	5.428306152	5.038848228	5.847016933
hsa_circ_0000336	6.566980835	6.981192076	6.547833643	6.635694726	6.131180717	6.107183331	6.803303091	6.774765815
hsa_circ_0000338	11.38370342	8.847443854	8.054256388	11.24844553	8.143374987	7.528197295	6.545904873	7.728972405
hsa_circ_0000342	6.352014948	6.598958974	7.047787973	6.354771921	7.374210405	8.718955391	6.391215875	7.757795924
hsa_circ_0000344	8.826245418	11.97799479	12.09589093	10.34113476	11.89666291	11.89933271	10.80639728	9.406733055
hsa_circ_0000345	9.609522076	7.398195471	6.35311837	8.818976389	6.627966265	6.702150344	6.483285954	6.797640616
hsa_circ_0000346	9.201966779	5.586791387	5.656378742	6.076781134	6.605455629	7.835645508	6.101941804	8.13858354
hsa_circ_0000348	4.882564192	5.226350055	5.346456559	4.744747076	5.463471653	5.837587255	5.07674667	6.384755912
hsa_circ_0000349	10.54284895	12.0025288	10.71633581	11.31406891	10.82944894	9.646105738	10.07714736	10.50102695
