geneNames	GSM2690785	GSM2690786	GSM2690787	GSM2690788	GSM2690789	GSM2690790
ABCA6	33.185608	69.095444	23.909946	120.898491	160.099106	107.892693
ABCA7	12.905514	27.448875	28.508015	23.681147	15.363046	36.874718
ABCA8	93.104065	85.186165	202.314941	302.869415	251.468796	310.020782
ABCA9	7.374579	10.411642	6.437294	13.710137	9.702976	16.388763
ABCB1	172.380798	239.467773	138.861618	110.927475	1025.28113	439.765137
ABCB10	23.0455615	38.80703	35.864921	52.347798	33.5561265	56.677807
ABCB11	38.716541	7.572104	80.006363	105.941971	15.363046	102.429771
ABCB4	46.0911215	52.5314665	77.247526	13.0869495	9.2986855	20.4859545
ABCB5	10.14004675	10.6482705	11.03536	16.20289	6.46865075	19.803089
ABCB6	327.246948	483.668121	80.006363	159.536148	104.306992	135.207306
ABCB7	320.79422	704.205627	747.645691	257.999878	381.650391	682.865112
ABCB8	26.7328505	35.02098	36.7845345	73.5361905	42.0462305	48.483425
ABCB9	39.6383643333333	60.2613233333333	70.5036923333333	83.922661	49.053936	118.363291333333
ABCC1	309.73233	294.365509	207.832626	144.579636	138.26741	166.619095
ABCC10	323.559662	254.611984	668.558899	447.449036	333.944092	397.427521
ABCC11	18.436449	25.555849	35.864922	63.565186	25.874603	47.80056
ABCC12	36.872898	48.27216	52.417961	137.101379	28.300346	125.647186
ABCC13	17.8219006666667	14.197694	34.63877	80.1835316666667	19.136425	60.0921353333333
ABCC2	224.924667	793.177856	241.858307	488.579468	99.455505	379.673035
ABCC3	11207.9780005	129.6722665	155.874464	142.0868795	62.6650545	115.4042125
ABCC4	363.65896	285.8469045	71.729843	155.79702	497.277527	129.0615155
ABCC5	377.4862975	410.7866005	568.780885	682.390972	707.5086745	473.2255285
ABCC6	2215.600211	2540.4406245	3788.806985	2362.5059075	483.531652	1698.285551
ABCC6|ABCC6P2	860.982178	1057.255	619.819397	1718.75269	586.221497	725.202759
ABCC8	30.420139	33.127953	35.864922	189.449173	32.343254	142.03595
ABCC9	192.6608945	357.3086345	312.6685355	540.3040375	1364.885321	357.8213235
