id	GSM2674263_con	GSM2674264_con	GSM2674265_con	GSM2674266_con	GSM2674259_treat	GSM2674260_treat	GSM2674261_treat	GSM2674262_treat
hsa_circ_0000919	10.452729625	11.31232275	9.782433	11.980403875	11.466047875	7.0769071875	9.566083	6.98658625
hsa_circ_0000275	5.465743875	5.653514125	5.550673375	6.4860225	5.392528	5.311824	5.222791125	5.4802889375
hsa_circ_0000276	8.801140875	10.02705825	10.818921	9.561655125	8.633138375	8.09976125	8.9907940625	8.604424
hsa_circ_0000278	8.25860325	8.2868770625	7.99162725	7.424965125	5.57712625	5.890751125	6.899195625	5.62337625
hsa_circ_0000929	5.096421625	5.172530375	5.260651625	5.8048270625	5.9562475625	5.519450625	5.422323625	5.096421625
hsa_circ_0000281	13.156528125	13.264575875	13.515686125	13.535973	12.397599	12.22146325	13.4084275	13.030622875
hsa_circ_0000283	6.3764735	6.444663	6.25124325	7.3389941875	7.55197425	7.300351625	6.444271375	7.6701065
hsa_circ_0000285	9.809233125	9.7739005	9.8752703125	9.99814775	10.60001775	9.6786285625	9.810922	10.524599375
hsa_circ_0000286	10.72182	9.013984	9.73725275	10.452729625	13.36883275	12.360484125	11.26140675	13.495729375
hsa_circ_0000287	9.4294235	7.572175125	8.691269125	9.201066	10.656352625	11.380382375	10.227383	10.7690815
hsa_circ_0000289	5.300387125	5.704788375	6.8697013125	6.263234	5.459118625	4.86750675	5.141269625	5.223950875
hsa_circ_0000961	5.876868875	7.05035275	5.92748525	6.9985055	5.421172875	5.188691125	5.69215575	5.172530375
hsa_circ_0000969	5.119844	5.172530375	5.122697125	4.754253875	5.07130375	5.05236575	5.006700875	5.05236575
hsa_circ_0000297	6.3764735	7.1093300625	7.295895625	7.637494125	6.30494425	6.141017875	6.536272875	6.536682875
hsa_circ_0000298	13.581543	13.93333175	14.531226375	13.5504175	12.36337025	11.715302	13.197280875	13.178849
hsa_circ_0000299	5.519450625	5.37663575	5.841866375	5.38846975	9.9165935	7.074931875	6.9239320625	7.76748225
